Geburtsland in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Country of birth of residents in Vienna by sex and of Vienna subdistrict;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91900;91908;2;6925;233;93;202;140;58;29;51;147;82;722;5168;20110101
AT1;AT13;AT130;91900;91909;2;2229;65;28;114;56;19;14;32;36;47;493;1325;20110101
AT1;AT13;AT130;91900;91910;2;4647;76;26;178;63;19;14;34;68;49;551;3569;20110101
AT1;AT13;AT130;91900;91999;2;8;0;0;1;0;0;0;1;0;0;1;5;20110101
AT1;AT13;AT130;92000;92001;2;4231;306;281;42;95;134;22;40;58;32;464;2757;20110101
AT1;AT13;AT130;92000;92002;2;7510;777;588;118;225;222;42;150;78;56;1018;4236;20110101
AT1;AT13;AT130;92000;92003;2;6928;677;492;161;168;191;44;120;72;57;773;4173;20110101
AT1;AT13;AT130;92000;92004;2;4780;269;267;76;132;142;35;59;67;44;745;2944;20110101
AT1;AT13;AT130;92000;92005;2;5612;635;433;132;183;160;32;168;49;41;759;3020;20110101
AT1;AT13;AT130;92000;92006;2;4355;270;325;54;95;88;21;47;54;41;516;2844;20110101
AT1;AT13;AT130;92000;92007;2;6655;479;426;79;175;153;27;84;83;69;772;4308;20110101
AT1;AT13;AT130;92000;92008;2;2734;253;171;52;103;91;20;55;29;27;319;1614;20110101
AT1;AT13;AT130;92000;92099;2;42;1;2;0;1;0;0;0;3;0;3;32;20110101
AT1;AT13;AT130;92100;92101;2;689;15;1;11;11;2;0;3;6;3;15;622;20110101
AT1;AT13;AT130;92100;92102;2;3581;87;29;56;122;50;17;11;28;32;265;2884;20110101
AT1;AT13;AT130;92100;92103;2;2818;55;27;46;90;16;5;13;22;26;186;2332;20110101
AT1;AT13;AT130;92100;92104;2;2036;54;16;26;22;9;7;31;29;10;137;1695;20110101
AT1;AT13;AT130;92100;92105;2;9710;368;421;109;152;80;22;87;161;46;967;7297;20110101
AT1;AT13;AT130;92100;92106;2;437;38;4;4;3;4;2;10;6;2;36;328;20110101
AT1;AT13;AT130;92100;92107;2;1470;72;22;20;42;21;4;19;20;9;120;1121;20110101
AT1;AT13;AT130;92100;92108;2;1296;38;25;15;10;12;2;6;12;11;96;1069;20110101
AT1;AT13;AT130;92100;92109;2;3534;83;49;68;154;22;5;25;55;29;265;2779;20110101
AT1;AT13;AT130;92100;92110;2;2383;134;58;32;48;36;10;27;28;12;209;1789;20110101
AT1;AT13;AT130;92100;92111;2;2570;80;35;41;65;39;11;28;40;23;266;1942;20110101
AT1;AT13;AT130;92100;92112;2;3780;154;240;36;70;34;11;34;37;10;374;2780;20110101
AT1;AT13;AT130;92100;92113;2;2405;33;15;49;27;8;12;15;36;13;146;2051;20110101
AT1;AT13;AT130;92100;92114;2;2623;71;55;30;35;19;9;26;37;11;187;2143;20110101
AT1;AT13;AT130;92100;92115;2;2311;62;31;26;44;15;8;16;30;35;147;1897;20110101
AT1;AT13;AT130;92100;92116;2;1735;20;3;29;19;4;2;10;38;10;83;1517;20110101
AT1;AT13;AT130;92100;92117;2;3427;181;156;39;76;31;8;28;49;21;269;2569;20110101
AT1;AT13;AT130;92100;92118;2;3568;208;102;75;93;62;31;48;49;28;351;2521;20110101
AT1;AT13;AT130;92100;92119;2;1608;90;33;17;40;16;7;19;13;16;144;1213;20110101
AT1;AT13;AT130;92100;92120;2;872;66;27;16;31;38;7;11;11;5;93;567;20110101
AT1;AT13;AT130;92100;92121;2;3107;311;90;54;76;63;7;62;47;27;310;2060;20110101
AT1;AT13;AT130;92100;92122;2;4326;170;140;78;124;72;15;62;86;38;520;3021;20110101
AT1;AT13;AT130;92100;92123;2;5331;295;123;125;153;100;22;69;61;41;614;3728;20110101
AT1;AT13;AT130;92100;92124;2;1665;40;30;33;48;14;3;19;31;14;122;1311;20110101
AT1;AT13;AT130;92100;92125;2;2278;51;29;48;68;23;6;27;21;17;242;1746;20110101
AT1;AT13;AT130;92100;92126;2;3774;122;75;72;92;52;19;25;41;39;338;2899;20110101
AT1;AT13;AT130;92100;92127;2;763;10;3;19;8;6;2;5;15;5;110;580;20110101
AT1;AT13;AT130;92100;92128;2;133;21;11;2;3;11;5;2;0;1;19;58;20110101
AT1;AT13;AT130;92100;92129;2;3;0;0;0;0;0;0;0;0;0;1;2;20110101
AT1;AT13;AT130;92100;92130;2;7;0;0;0;0;0;0;0;0;0;0;7;20110101
AT1;AT13;AT130;92100;92199;2;289;4;0;2;1;2;0;1;2;2;8;267;20110101
AT1;AT13;AT130;92200;92201;2;1019;18;16;16;19;2;2;15;10;6;112;803;20110101
AT1;AT13;AT130;92200;92202;2;2177;58;27;37;30;20;4;20;17;10;242;1712;20110101
AT1;AT13;AT130;92200;92203;2;715;32;5;9;7;1;3;9;10;7;48;584;20110101
AT1;AT13;AT130;92200;92204;2;1940;40;18;30;35;14;0;14;29;14;115;1631;20110101
AT1;AT13;AT130;92200;92205;2;2562;33;16;45;70;10;4;14;34;19;193;2124;20110101
AT1;AT13;AT130;92200;92206;2;5950;185;160;60;120;44;13;39;75;35;547;4672;20110101
AT1;AT13;AT130;92200;92207;2;2429;43;11;38;74;17;7;24;27;14;204;1970;20110101
AT1;AT13;AT130;92200;92208;2;7800;362;225;79;274;138;28;100;79;44;1062;5409;20110101
AT1;AT13;AT130;92200;92209;2;7159;298;196;117;161;69;23;61;108;37;784;5305;20110101
AT1;AT13;AT130;92200;92210;2;3255;73;48;53;69;38;16;35;39;24;500;2360;20110101
AT1;AT13;AT130;92200;92211;2;5705;232;100;85;140;64;21;96;85;57;678;4147;20110101
AT1;AT13;AT130;92200;92212;2;1732;68;81;32;32;15;6;7;33;9;240;1209;20110101
AT1;AT13;AT130;92200;92213;2;3410;120;78;44;59;35;14;34;49;18;336;2623;20110101
AT1;AT13;AT130;92200;92214;2;2661;42;22;42;35;11;4;11;34;13;132;2315;20110101
AT1;AT13;AT130;92200;92215;2;4644;172;168;73;81;45;9;37;73;44;350;3592;20110101
AT1;AT13;AT130;92200;92216;2;607;22;12;8;9;6;0;1;9;4;41;495;20110101
AT1;AT13;AT130;92200;92217;2;622;12;3;9;12;1;3;6;7;6;42;521;20110101
AT1;AT13;AT130;92200;92218;2;2657;68;41;27;56;23;8;17;45;13;188;2171;20110101
AT1;AT13;AT130;92200;92219;2;2915;188;79;43;55;45;15;48;41;25;251;2125;20110101
AT1;AT13;AT130;92200;92220;2;1453;53;55;26;17;10;4;15;24;11;168;1070;20110101
AT1;AT13;AT130;92200;92221;2;574;27;4;8;7;3;0;0;8;5;46;466;20110101
AT1;AT13;AT130;92200;92222;2;3439;66;18;42;221;34;11;29;55;12;307;2644;20110101
AT1;AT13;AT130;92200;92223;2;2226;64;17;36;31;15;4;11;23;20;259;1746;20110101
AT1;AT13;AT130;92200;92224;2;2967;47;14;49;108;24;5;27;36;25;233;2399;20110101
AT1;AT13;AT130;92200;92225;2;980;15;1;18;10;3;1;3;17;12;54;846;20110101
AT1;AT13;AT130;92200;92226;2;1891;29;1;50;27;3;3;12;28;17;145;1576;20110101
AT1;AT13;AT130;92200;92227;2;3213;50;15;63;54;14;9;21;36;23;242;2686;20110101
AT1;AT13;AT130;92200;92228;2;1821;51;15;25;38;19;4;10;19;15;141;1484;20110101
AT1;AT13;AT130;92200;92229;2;1785;57;28;36;27;8;7;16;27;11;175;1393;20110101
AT1;AT13;AT130;92200;92230;2;7;0;0;0;0;0;0;0;0;0;2;5;20110101
AT1;AT13;AT130;92200;92231;2;46;0;0;1;1;1;0;0;1;0;1;41;20110101
AT1;AT13;AT130;92200;92232;2;2153;81;30;36;128;68;21;20;21;16;514;1218;20110101
AT1;AT13;AT130;92200;92299;2;415;8;3;9;4;3;0;3;2;4;16;363;20110101
AT1;AT13;AT130;92300;92301;2;1206;61;14;24;15;19;7;25;17;7;115;902;20110101
AT1;AT13;AT130;92300;92302;2;2229;143;34;34;53;70;11;39;32;21;178;1614;20110101
AT1;AT13;AT130;92300;92303;2;1854;43;21;35;18;16;1;20;25;10;109;1556;20110101
AT1;AT13;AT130;92300;92304;2;4053;136;107;40;95;159;27;49;42;39;297;3062;20110101
AT1;AT13;AT130;92300;92305;2;4657;183;155;93;106;64;18;46;44;38;347;3563;20110101
AT1;AT13;AT130;92300;92306;2;483;28;3;9;9;6;2;4;3;2;29;388;20110101
AT1;AT13;AT130;92300;92307;2;4535;236;124;76;83;83;34;57;55;31;338;3418;20110101
AT1;AT13;AT130;92300;92308;2;2283;66;37;40;36;15;11;20;40;19;145;1854;20110101
AT1;AT13;AT130;92300;92309;2;3701;99;43;119;50;39;12;26;80;32;219;2982;20110101
AT1;AT13;AT130;92300;92310;2;2776;108;55;45;36;32;9;27;39;17;180;2228;20110101
AT1;AT13;AT130;92300;92311;2;3761;129;55;99;59;45;27;27;43;41;283;2953;20110101
AT1;AT13;AT130;92300;92312;2;2872;102;42;66;41;26;9;13;35;30;174;2334;20110101
AT1;AT13;AT130;92300;92313;2;2230;22;7;62;22;8;3;15;52;9;131;1899;20110101
AT1;AT13;AT130;92300;92314;2;2489;48;17;91;33;14;11;11;31;11;157;2065;20110101
AT1;AT13;AT130;92300;92315;2;1137;12;4;56;19;7;3;7;12;12;78;927;20110101
